序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
242,NLXJ,能量小姐,89PYOVPQ,NLXJ-89PYOVPQ,水煮嫩雞胸,Poached Tender Chicken Breast,聯發太陽廣場,2025-04-21 09:58:44
243,NLXJ,能量小姐,64RSQZQX,NLXJ-64RSQZQX,蔬食餐盒(含蔥蒜),Vegetable Meal Box (with Green Onion and Garlic),聯發太陽廣場,2025-04-21 09:58:44
244,TSF,太師傅,63RCGHSO,TSF-63RCGHSO,呷霸大雞腿,Giant Chicken Drumstick,聯發太陽廣場,2025-04-21 09:58:44
245,TSF,太師傅,51STCRUS,TSF-51STCRUS,五香豬排飯,Five Spice Pork Chop Rice,聯發太陽廣場,2025-04-21 09:58:44
246,TSF,太師傅,70PDKMTK,TSF-70PDKMTK,鐵道滷排飯,Railway Braised Pork Chop Rice,聯發太陽廣場,2025-04-21 09:58:44
247,TSF,太師傅,80HUFTOL,TSF-80HUFTOL,美味雙享便當,Delicious Double Enjoyment Bento,聯發太陽廣場,2025-04-21 09:58:44
248,TSF,太師傅,72VLBCYP,TSF-72VLBCYP,三杯雞丁飯,Three Cup Chicken Cube Rice,聯發太陽廣場,2025-04-21 09:58:44
249,ZZXCG,珍饌小餐館,34UMOBMS,ZZXCG-34UMOBMS,刈包(肥瘦個半)加蛋綜合四神湯,Gua Bao (Mixed Fat and Lean) with Egg and Four-herb Soup,聯發太陽廣場,2025-04-21 09:58:44
250,ZZXCG,珍饌小餐館,31ELLAYF,ZZXCG-31ELLAYF,全瘦焢肉飯扁食湯,Lean Braised Pork Rice with Wonton Soup,聯發太陽廣場,2025-04-21 09:58:44
251,ZZXCG,珍饌小餐館,76AOPJPR,ZZXCG-76AOPJPR,大滷肉飯綜合四神湯,Large Braised Pork Rice with Four-herb Soup,聯發太陽廣場,2025-04-21 09:58:44
252,ZZXCG,珍饌小餐館,95FOBSHT,ZZXCG-95FOBSHT,小台南米糕綜合四神湯,Small Tainan Rice Cake with Four-herb Soup,聯發太陽廣場,2025-04-21 09:58:44
253,ZZXCG,珍饌小餐館,22RHVQOK,ZZXCG-22RHVQOK,古早味蛋包飯扁食湯,Traditional Omelette Rice with Wonton Soup,聯發太陽廣場,2025-04-21 09:58:44
266,MMNN,貓咪奶奶,06LWUUOJ,MMNN-06LWUUOJ,蔥鹽雞胸餐盒-無飯,Green Onion Salt Chicken Breast Meal Box - No Rice,聯發太陽廣場,2025-04-21 09:58:44
267,MMNN,貓咪奶奶,82PUBVOT,MMNN-82PUBVOT,日式胡麻舒肥嫩雞胸-無飯,Japanese Sesame Sous Vide Tender Chicken Breast - No Rice,聯發太陽廣場,2025-04-21 09:58:44
268,MMNN,貓咪奶奶,31AIZVSX,MMNN-31AIZVSX,蔥鹽和風豆腐餐盒,Green Onion Japanese-style Tofu Meal Box,聯發太陽廣場,2025-04-21 09:58:44
269,MMNN,貓咪奶奶,72WYETDU,MMNN-72WYETDU,蜜戀韓式雞腿餐盒,Honey Korean Style Chicken Thigh Meal Box,聯發太陽廣場,2025-04-21 09:58:44
270,MMNN,貓咪奶奶,31SBLDAT,MMNN-31SBLDAT,和風豆腐餐盒(全素),Japanese-style Tofu Meal Box (Vegan),聯發太陽廣場,2025-04-21 09:58:44
271,FCSL,鳳城燒臘,06ZPSPTT,FCSL-06ZPSPTT,招牌三寶飯,Signature Three Treasures Rice,聯發太陽廣場,2025-04-21 09:58:44
272,FCSL,鳳城燒臘,71MFRYUK,FCSL-71MFRYUK,油雞燒鴨飯,Soy Sauce Chicken and Roast Duck Rice,聯發太陽廣場,2025-04-21 09:58:44
273,FCSL,鳳城燒臘,98NWUTOO,FCSL-98NWUTOO,燒肉油雞飯,Roast Pork and Soy Sauce Chicken Rice,聯發太陽廣場,2025-04-21 09:58:44
274,FCSL,鳳城燒臘,93TRJTJI,FCSL-93TRJTJI,叉燒油雞飯,BBQ Pork and Soy Sauce Chicken Rice,聯發太陽廣場,2025-04-21 09:58:44
275,FCSL,鳳城燒臘,25BAOYBW,FCSL-25BAOYBW,叉燒燒肉飯,BBQ Pork and Roast Pork Rice,聯發太陽廣場,2025-04-21 09:58:44
276,BFYJ,八方雲集,42OBMUOJ,BFYJ-42OBMUOJ,白豆漿(冰),Iced Soy Milk,聯發太陽廣場,2025-04-21 09:58:44
277,BFYJ,八方雲集,94BCKDKN,BFYJ-94BCKDKN,黑豆漿(冰),Iced Black Soy Milk,聯發太陽廣場,2025-04-21 09:58:44
516,BFYJ,八方雲集,74DMNGPM,BFYJ-74DMNGPM,清燉牛肉麵,Clear Beef Noodle Soup,聯發太陽廣場,2025-04-21 09:58:44
