序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
1,GLHZ,給力盒子,96JDXQWE,GLHZ-96JDXQWE,椒鹽水煮雞胸-無飯,Salt & Pepper Poached Chicken Breast (No Rice),聯發科瑞光,2024-12-10 12:14:49
2,GLHZ,給力盒子,65HVROFV,GLHZ-65HVROFV,蒜泥醬豬肉片,Garlic Sauce Sliced Pork,聯發科瑞光,2024-12-10 12:14:49
3,GLHZ,給力盒子,31WIKPJA,GLHZ-31WIKPJA,普羅旺斯烤雞腿,Provence Herbs Roasted Chicken Leg,聯發科瑞光,2024-12-10 12:14:49
4,GLHZ,給力盒子,33GZCMRP,GLHZ-33GZCMRP,鹽烤鯖魚,Salt-Grilled Mackerel,聯發科瑞光,2024-12-10 12:14:49
5,GLHZ,給力盒子,17AYCUSV,GLHZ-17AYCUSV,西西里烤蔬菜,Sicilian Roasted Vegetables,聯發科瑞光,2024-12-10 12:14:49
6,GLHZ,給力盒子,32FEXRTH,GLHZ-32FEXRTH,十三香滷牛腱,Chinese 13-Spice Braised Beef Shank,聯發科瑞光,2024-12-10 12:14:49
7,LSH,梁社漢,79DUKIOW,LSH-79DUKIOW,炸排骨飯,Fried Pork Chop Rice,聯發科瑞光,2024-12-10 12:14:49
8,LSH,梁社漢,55IUSKPB,LSH-55IUSKPB,炸雞腿飯,Fried Chicken Leg Rice,聯發科瑞光,2024-12-10 12:14:49
9,LSH,梁社漢,74YBUPUV,LSH-74YBUPUV,焢肉飯,Braised Pork Rice,聯發科瑞光,2024-12-10 12:14:49
10,LSH,梁社漢,70PDXOPH,LSH-70PDXOPH,黃金塔塔鱈魚排飯,Golden Tartar Cod Fish Fillet Rice,聯發科瑞光,2024-12-10 12:14:49
11,LSH,梁社漢,05NSNOOT,LSH-05NSNOOT,紅糟肉飯,Red Yeast Pork Rice,聯發科瑞光,2024-12-10 12:14:49
12,LSH,梁社漢,32MMUOBS,LSH-32MMUOBS,椒麻雞飯,Pepper Chicken Rice,聯發科瑞光,2024-12-10 12:14:49
13,BSK,必勝客,30PFLRSR,BSK-30PFLRSR,海鮮個人披薩無糖綠茶,Seafood Personal Pizza + Sugar-Free Green Tea,聯發科瑞光,2024-12-10 12:14:49
14,BSK,必勝客,95TGUBNW,BSK-95TGUBNW,日式照燒雞個人披薩無糖綠茶,Teriyaki Chicken Personal Pizza + Sugar-Free Green Tea,聯發科瑞光,2024-12-10 12:14:49
15,BSK,必勝客,61NVXCQM,BSK-61NVXCQM,夏威夷個人披薩無糖綠茶,Hawaiian Personal Pizza + Sugar-Free Green Tea,聯發科瑞光,2024-12-10 12:14:49
16,BSK,必勝客,00LWKDCU,BSK-00LWKDCU,雙層美式臘腸個人披薩無糖綠茶,Double Pepperoni Personal Pizza + Sugar-Free Green Tea,聯發科瑞光,2024-12-10 12:14:49
17,BSK,必勝客,02KUPURU,BSK-02KUPURU,韓式泡菜燒肉個人披薩無糖綠茶,Korean Kimchi & BBQ Pork Personal Pizza + Sugar-Free Green Tea,聯發科瑞光,2024-12-10 12:14:49
18,BSK,必勝客,36PGNKED,BSK-36PGNKED,蔬食總匯個人披薩無糖綠茶,Vegetarian Deluxe Personal Pizza + Sugar-Free Green Tea,聯發科瑞光,2024-12-10 12:14:49
19,ZZXCG,珍饌小餐館,27QUIOOS,ZZXCG-27QUIOOS,扁食湯板條,Wonton Soup with Flat Noodles,聯發科瑞光,2024-12-10 12:14:49
20,ZZXCG,珍饌小餐館,15CGBFFU,ZZXCG-15CGBFFU,榨菜肉絲湯麵,Shredded Pork with Preserved Mustard Soup Noodles,聯發科瑞光,2024-12-10 12:14:49
21,ZZXCG,珍饌小餐館,22RHVQOK,ZZXCG-22RHVQOK,古早味蛋包飯扁食湯,Traditional Omelette Rice with Wonton Soup,聯發科瑞光,2024-12-10 12:14:49
22,ZZXCG,珍饌小餐館,32QAIQWB,ZZXCG-32QAIQWB,大台南米糕虱目魚丸湯,Tainan Style Rice Cake with Milkfish Ball Soup,聯發科瑞光,2024-12-10 12:14:49
23,ZZXCG,珍饌小餐館,13ERUFCD,ZZXCG-13ERUFCD,刈包(肥瘦個半)貢丸湯,Meatball Soup with Gua Bao (Half Lean Half Fat),聯發科瑞光,2024-12-10 12:14:49
24,NLXJ,能量小姐,43OPENGT,NLXJ-43OPENGT,水煮嫩雞胸-無飯,Poached Tender Chicken Breast (No Rice),聯發科瑞光,2024-12-10 12:14:49
25,NLXJ,能量小姐,33GZCMRP,NLXJ-33GZCMRP,鹽烤鯖魚,Salt-Grilled Mackerel,聯發科瑞光,2024-12-10 12:14:49
26,NLXJ,能量小姐,91TUVUSF,NLXJ-91TUVUSF,蒜泥豬里肌,Garlic Pork Tenderloin,聯發科瑞光,2024-12-10 12:14:49
27,NLXJ,能量小姐,67YEQYDF,NLXJ-67YEQYDF,日式壽喜牛,Japanese Sukiyaki Beef,聯發科瑞光,2024-12-10 12:14:49
