序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
1073,ZJZMX,知己知米小資餐盒,19WRWFJD,ZJZMX-19WRWFJD,蒜香嫩煎雞胸無飯減脂地瓜餐,Garlic Pan-Seared Chicken Breast (No Rice) with Fat-Reduced Sweet Potato Meal,聯發科瑞光,2025-06-13 10:07:06
1074,ZJZMX,知己知米小資餐盒,33ZNQAPJ,ZJZMX-33ZNQAPJ,鹽烤挪威鯖魚,Salt-Grilled Norwegian Mackerel,聯發科瑞光,2025-06-13 10:07:06
1075,HFKY,伙房烤魚,20HPOJBY,HFKY-20HPOJBY,去骨脆皮雞腿飯,Boneless Crispy Chicken Leg Rice,聯發科瑞光,2025-06-13 10:07:06
1076,HFKY,伙房烤魚,56ZBCAWX,HFKY-56ZBCAWX,鹽蔥去骨白斬雞飯,Scallion Oil Boneless White Cut Chicken Rice,聯發科瑞光,2025-06-13 10:07:06
1077,HFKY,伙房烤魚,35TIPGYD,HFKY-35TIPGYD,紹興控肉飯,Shaoxing Braised Pork Rice,聯發科瑞光,2025-06-13 10:07:06
1078,HFKY,伙房烤魚,16EAFANA,HFKY-16EAFANA,蒜味排骨飯,Garlic Spare Ribs Rice,聯發科瑞光,2025-06-13 10:07:06
1079,HFKY,伙房烤魚,72RORIPW,HFKY-72RORIPW,酥炸鮭魚排飯,Crispy Fried Salmon Rice,聯發科瑞光,2025-06-13 10:07:06
1080,KDJ,肯德基,88ZQIQNV,KDJ-88ZQIQNV,花生熔岩卡啦雞腿堡 經典可樂,Peanut Lava Karaage Chicken Leg Burger Classic Meal with Coke,聯發科瑞光,2025-06-13 10:07:06
1081,KDJ,肯德基,79OTDLRD,KDJ-79OTDLRD,青花椒香麻脆雞 經典餐可樂,Sichuan Pepper Crispy Chicken Classic Meal with Coke,聯發科瑞光,2025-06-13 10:07:06
1082,LHJCH,李鴻記餐盒,05OKNSPR,LHJCH-05OKNSPR,客家馬告鹹豬肉,Hakka Style Salted Pork with Makauy,聯發科瑞光,2025-06-13 10:07:06
1083,LHJCH,李鴻記餐盒,02MZPYFX,LHJCH-02MZPYFX,法蘭西鄉村烤腿排（去骨）,French Country-Style Roasted Chicken Leg (Boneless),聯發科瑞光,2025-06-13 10:07:06
