序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
1012,LSH,梁社漢,79DUKIOW,LSH-79DUKIOW,炸排骨飯,Fried Pork Chop Rice,聯發太陽廣場,2025-06-13 10:07:06
1013,LSH,梁社漢,83TASFNU,LSH-83TASFNU,玫瑰油雞腿飯,Rose Oil Chicken Leg Rice,聯發太陽廣場,2025-06-13 10:07:06
1014,LSH,梁社漢,39MKQRMQ,LSH-39MKQRMQ,椒鹽雞菲力排飯,Pepper Salt Chicken Fillet Rice,聯發太陽廣場,2025-06-13 10:07:06
1015,MSHB,摩斯漢堡,11OYODVR,MSHB-11OYODVR,和風蔬活牛肉堡紅茶,Japanese-Style Vegetable Beef Burger with Black Tea,聯發太陽廣場,2025-06-13 10:07:06
1016,MSHB,摩斯漢堡,93HVIMTE,MSHB-93HVIMTE,泰式檸檬魚堡紅茶,Thai Lemon Fish Burger with Black Tea,聯發太陽廣場,2025-06-13 10:07:06
1017,MSHB,摩斯漢堡,27TJZLWG,MSHB-27TJZLWG,椒麻雞腿堡紅茶,Spicy Sichuan Pepper Chicken Leg Burger with Black Tea,聯發太陽廣場,2025-06-13 10:07:06
1060,GLHZ,給力盒子,33GZCMRP,GLHZ-33GZCMRP,鹽烤鯖魚,Grilled Mackerel with Salt,聯發太陽廣場,2025-06-13 10:07:06
1061,GLHZ,給力盒子,08EHZCTF,GLHZ-08EHZCTF,和風照燒豬肉片,Teriyaki Pork Slices,聯發太陽廣場,2025-06-13 10:07:06
1062,YGCF,陽光廚房,82EDEYLT,YGCF-82EDEYLT,御品三杯雞飯,Premium Three-Cup Chicken Rice,聯發太陽廣場,2025-06-13 10:07:06
1063,ZZ,抓粥,80GKCWBG,ZZ-80GKCWBG,香菇雞肉粥,Mushroom Chicken Congee,聯發太陽廣場,2025-06-13 10:07:06
